generation,cost_total,cost_freight,cost_time,cost_carbon
1,9055.0,570.0,285.0,8200.0
2,9055.0,570.0,285.0,8200.0
3,9055.0,570.0,285.0,8200.0
4,9055.0,570.0,285.0,8200.0
5,9055.0,570.0,285.0,8200.0
6,9055.0,570.0,285.0,8200.0
7,9055.0,570.0,285.0,8200.0
8,9055.0,570.0,285.0,8200.0
9,9055.0,570.0,285.0,8200.0
10,9055.0,570.0,285.0,8200.0
11,9055.0,570.0,285.0,8200.0
12,9055.0,570.0,285.0,8200.0
13,9055.0,570.0,285.0,8200.0
14,9055.0,570.0,285.0,8200.0
15,9055.0,570.0,285.0,8200.0
16,9055.0,570.0,285.0,8200.0
17,9055.0,570.0,285.0,8200.0
18,9055.0,570.0,285.0,8200.0
19,9055.0,570.0,285.0,8200.0
20,9055.0,570.0,285.0,8200.0
21,9055.0,570.0,285.0,8200.0
22,9055.0,570.0,285.0,8200.0
23,9055.0,570.0,285.0,8200.0
24,9055.0,570.0,285.0,8200.0
25,9055.0,570.0,285.0,8200.0
26,9055.0,570.0,285.0,8200.0
27,9055.0,570.0,285.0,8200.0
28,9055.0,570.0,285.0,8200.0
29,9055.0,570.0,285.0,8200.0
30,9055.0,570.0,285.0,8200.0
31,9055.0,570.0,285.0,8200.0
32,9055.0,570.0,285.0,8200.0
33,9055.0,570.0,285.0,8200.0
34,9055.0,570.0,285.0,8200.0
35,9055.0,570.0,285.0,8200.0
36,9055.0,570.0,285.0,8200.0
37,9055.0,570.0,285.0,8200.0
38,9055.0,570.0,285.0,8200.0
39,9055.0,570.0,285.0,8200.0
40,9055.0,570.0,285.0,8200.0
41,9055.0,570.0,285.0,8200.0
42,9055.0,570.0,285.0,8200.0
43,9055.0,570.0,285.0,8200.0
44,9055.0,570.0,285.0,8200.0
45,9055.0,570.0,285.0,8200.0
46,9055.0,570.0,285.0,8200.0
47,9055.0,570.0,285.0,8200.0
48,9055.0,570.0,285.0,8200.0
49,9055.0,570.0,285.0,8200.0
50,9055.0,570.0,285.0,8200.0
51,9055.0,570.0,285.0,8200.0
52,9055.0,570.0,285.0,8200.0
53,9055.0,570.0,285.0,8200.0
54,9055.0,570.0,285.0,8200.0
55,9055.0,570.0,285.0,8200.0
56,9055.0,570.0,285.0,8200.0
57,9055.0,570.0,285.0,8200.0
58,9055.0,570.0,285.0,8200.0
59,9055.0,570.0,285.0,8200.0
60,9055.0,570.0,285.0,8200.0
61,9055.0,570.0,285.0,8200.0
62,9055.0,570.0,285.0,8200.0
63,9055.0,570.0,285.0,8200.0
64,9055.0,570.0,285.0,8200.0
65,9055.0,570.0,285.0,8200.0
66,9055.0,570.0,285.0,8200.0
67,9055.0,570.0,285.0,8200.0
68,9055.0,570.0,285.0,8200.0
69,9055.0,570.0,285.0,8200.0
70,9055.0,570.0,285.0,8200.0
71,9055.0,570.0,285.0,8200.0
72,9055.0,570.0,285.0,8200.0
73,9055.0,570.0,285.0,8200.0
74,9055.0,570.0,285.0,8200.0
75,9055.0,570.0,285.0,8200.0
76,9055.0,570.0,285.0,8200.0
77,9055.0,570.0,285.0,8200.0
78,9055.0,570.0,285.0,8200.0
79,9055.0,570.0,285.0,8200.0
80,9055.0,570.0,285.0,8200.0
81,9055.0,570.0,285.0,8200.0
82,9055.0,570.0,285.0,8200.0
83,9055.0,570.0,285.0,8200.0
84,9055.0,570.0,285.0,8200.0
85,9055.0,570.0,285.0,8200.0
86,9055.0,570.0,285.0,8200.0
87,9055.0,570.0,285.0,8200.0
88,9055.0,570.0,285.0,8200.0
89,9055.0,570.0,285.0,8200.0
90,9055.0,570.0,285.0,8200.0
91,9055.0,570.0,285.0,8200.0
92,9055.0,570.0,285.0,8200.0
93,9055.0,570.0,285.0,8200.0
94,9055.0,570.0,285.0,8200.0
95,9055.0,570.0,285.0,8200.0
96,9055.0,570.0,285.0,8200.0
97,9055.0,570.0,285.0,8200.0
98,9055.0,570.0,285.0,8200.0
99,9055.0,570.0,285.0,8200.0
100,9055.0,570.0,285.0,8200.0
